1201,happen,88;
1202,box,88;
1203,even if,87;
1204,teacher,87;
1205,radio,87;
1206,provision,87;
1207,variety,87;
1208,show,87;
1209,ran,87;
1210,sector,87;
1211,return,87;
1212,factors,87;
1213,essential,87;
1214,direction,87;
1215,beautiful,87;
1216,civil,87;
1217,base,86;
1218,waiting,86;
1219,caught,86;
1220,sit,86;
1221,develop,86;
1222,character,86;
1223,safety,86;
1224,placed,86;
1225,past,86;
1226,completely,86;
1227,tea,86;
1228,introduced,86;
1229,killed,86;
1230,love,86;
1231,mum,86;
1232,context,86;
1233,fifty,86;
1234,primary,86;
1235,animals,86;
1236,culture,86;
1237,Oxford,86;
1238,brother,85;
1239,obvious,85;
1240,weight,85;
1241,discussion,85;
1242,created,85;
1243,1987,85;
1244,future,85;
1245,start,85;
1246,States,85;
1247,none,84;
1248,sold,84;
1249,let's,84;
1250,machine,84;
1251,afternoon,84;
1252,knows,84;
1253,environmental,84;
1254,fair,84;
1255,William,84;
1256,February,84;
1257,provides,84;
1258,wait,84;
1259,league,83;
1260,trees,83;
1261,positive,83;
1262,organisation,83;
1263,win,83;
1264,condition,83;
1265,families,83;
1266,argument,83;
1267,sex,83;
1268,Saturday,83;
1269,learn,83;
1270,up,83;
1271,normally,83;
1272,claimed,83;
1273,truth,83;
1274,senior,82;
1275,kitchen,82;
1276,works,82;
1277,add,82;
1278,lived,82;
1279,library,82;
1280,minute,82;
1281,believed,82;
1282,enough,82;
1283,transport,82;
1284,share,82;
1285,principle,82;
1286,create,82;
1287,agree,82;
1288,born,82;
1289,players,82;
1290,cash,82;
1291,exchange,82;
1292,rule,82;
1293,budget,82;
1294,turn,81;
1295,pupils,81;
1296,nuclear,81;
1297,sitting,81;
1298,version,81;
1299,English,81;
1300,best,81;
1301,no one,81;
1302,features,81;
1303,18,81;
1304,duty,81;
1305,annual,81;
1306,balance,81;
1307,16,81;
1308,front,81;
1309,send,80;
1310,boys,80;
1311,presence,80;
1312,protection,80;
1313,dog,80;
1314,courses,80;
1315,individuals,80;
1316,matters,80;
1317,media,80;
1318,avoid,80;
1319,influence,80;
1320,9,80;
1321,presented,80;
1322,14,80;
1323,speaker,80;
1324,stone,79;
1325,relevant,79;
1326,apply,79;
1327,August,79;
1328,explain,79;
1329,deep,79;
1330,Robert,79;
1331,1986,79;
1332,achieved,79;
1333,slowly,79;
1334,relatively,79;
1335,shares,79;
1336,letters,79;
1337,finished,79;
1338,survey,79;
1339,huge,79;
1340,accepted,79;
1341,covered,79;
1342,review,79;
1343,Smith,79;
1344,closed,79;
1345,form,79;
1346,marriage,79;
1347,commercial,79;
1348,aid,78;
1349,lives,78;
1350,collection,78;
1351,living,78;
1352,speech,78;
1353,Africa,78;
1354,regional,78;
1355,differences,78;
1356,benefit,78;
1357,apparently,78;
1358,effort,78;
1359,gets,78;
1360,executive,78;
1361,due to,78;
1362,later,78;
1363,latter,78;
1364,function,78;
1365,failure,78;
1366,return,78;
1367,chair,77;
1368,reference,77;
1369,horse,77;
1370,becomes,77;
1371,attack,77;
1372,reports,77;
1373,practical,77;
1374,queen,77;
1375,25,77;
